date,montant,type,est_fraude
2026-01-01,4543.743160481298,Vente,0
2026-01-01,3384.570230401664,Vente,0
2026-01-01,3114.7696543084057,Vente,0
2026-01-01,3587.8115195278497,Vente,0
2026-01-01,-387742.687220761,Achat_Marche,1
2026-01-01,5538.714967614598,Vente,0
2026-01-01,3748.9560319142233,Vente,0
2026-01-01,3836.13288350523,Vente,0
2026-01-01,4417.011109663175,Vente,0
2026-01-01,4832.461857121157,Vente,0
2026-01-01,3859.781502642992,Vente,0
2026-01-01,3966.806599933455,Vente,0
2026-01-01,3631.8290586564585,Vente,0
2026-01-01,4375.564633840694,Vente,0
2026-01-01,4322.999797278298,Vente,0
2026-01-01,-108197.49177381888,Achat_Marche,0
2026-01-01,4172.6937065255115,Vente,0
2026-01-01,4324.198767552732,Vente,0
2026-01-01,-420884.0,Salaire,0
2026-01-01,3539.3612290402125,Vente,0
2026-01-01,5057.122226218916,Vente,0
2026-01-01,-259384.67998164246,Achat_Marche,1
2026-01-01,-168350.28866522602,Achat_Marche,0
2026-01-01,3160.7824767773614,Vente,0
2026-01-01,3690.7876241487857,Vente,0
2026-01-01,2893.6650259939715,Vente,0
2026-01-01,2803.7933759193293,Vente,0
2026-01-01,4361.636025047634,Vente,0
2026-01-01,3354.8802453948756,Vente,0
2026-01-01,2070.3823438653835,Vente,1
2026-01-01,4821.9025043752235,Vente,0
2026-01-01,4091.7607765355024,Vente,0
2026-01-01,2012.4310853991071,Vente,0
2026-01-01,3191.5063971068125,Vente,0
2026-01-01,-134947.28869246392,Achat_Marche,0
2026-01-01,-134107.19388698883,Achat_Marche,0
2026-01-01,4513.267433113356,Vente,0
2026-01-01,-128938.40718367943,Achat_Marche,0
2026-01-01,3672.3378534022318,Vente,0
2026-01-01,-150153.40369927383,Achat_Marche,0
2026-01-01,3765.412866624853,Vente,0
2026-01-01,3838.7142883339907,Vente,0
2026-01-01,4404.050856814539,Vente,0
2026-01-01,-393075.0,Loyer,0
2026-01-01,3241.672879481758,Vente,0
2026-01-01,4457.415648719143,Vente,0
2026-01-02,4477.754099433527,Vente,0
2026-01-02,3740.9713552611092,Vente,0
2026-01-02,-394806.0,Loyer,0
2026-01-02,4791.031947043047,Vente,0
2026-01-02,3090.612545205261,Vente,0
2026-01-02,3009.4636748693115,Vente,0
2026-01-02,3433.702270397228,Vente,0
2026-01-02,2449.336568933867,Vente,0
2026-01-02,4068.5629748060273,Vente,0
2026-01-02,3216.746707663763,Vente,0
2026-01-02,-140338.15451382974,Achat_Marche,0
2026-01-02,4227.45993460413,Vente,0
2026-01-02,5307.142754282428,Vente,0
2026-01-02,-157796.4838274527,Achat_Marche,0
2026-01-02,4781.822871777311,Vente,0
2026-01-02,-157514.7855103763,Achat_Marche,0
2026-01-02,4346.448209496975,Vente,0
2026-01-02,-317584.3483979209,Achat_Marche,1
2026-01-02,3285.648581973632,Vente,0
2026-01-02,2808.696502797351,Vente,0
2026-01-02,4656.55360863383,Vente,0
2026-01-02,4963.376129244321,Vente,0
2026-01-02,4412.780926936498,Vente,0
2026-01-02,3110.4855703744765,Vente,0
2026-01-02,3184.1897150345617,Vente,0
2026-01-02,4013.001891877907,Vente,0
2026-01-02,5453.534077157317,Vente,0
2026-01-02,2929.1075019388877,Vente,0
2026-01-02,-498356.0,Salaire,0
2026-01-02,4482.472415243185,Vente,0
2026-01-02,6118.8862122299915,Vente,0
2026-01-02,5546.5367554715085,Vente,0
2026-01-02,3888.796000189731,Vente,0
2026-01-02,2250.9305658283865,Vente,0
2026-01-02,-115568.40081525,Achat_Marche,0
2026-01-02,5389.6028281465915,Vente,0
2026-01-02,-162559.18407517805,Achat_Marche,0
2026-01-02,3271.820750636666,Vente,0
2026-01-02,4900.5732974344155,Vente,1
2026-01-02,4195.346472546973,Vente,0
2026-01-02,3444.0551022253826,Vente,0
2026-01-02,3872.2651715361144,Vente,0
2026-01-02,2799.868262269837,Vente,0
2026-01-02,-484821.0,Loyer,0
2026-01-02,5201.380444217691,Vente,0
2026-01-02,-123206.39179112331,Achat_Marche,0
2026-01-02,3665.182752605266,Vente,0
2026-01-02,6389.0359573924625,Vente,0
2026-01-02,5843.413758320533,Vente,0
2026-01-02,5048.019743994952,Vente,0
2026-01-02,3371.430252524294,Vente,0
2026-01-02,3228.180922243245,Vente,0
2026-01-02,5661.301730608154,Vente,0
2026-01-02,4945.381690087567,Vente,0
2026-01-02,-229375.0,Salaire,0
2026-01-02,5266.406855372875,Vente,0
2026-01-02,7900.366723779934,Vente,1
2026-01-02,3292.3305343812194,Vente,0
2026-01-02,4443.819428146228,Vente,0
2026-01-02,4774.634053429337,Vente,0
2026-01-02,3747.4318486068396,Vente,0
2026-01-02,2752.2168180351505,Vente,0
2026-01-02,5441.2732890661155,Vente,0
2026-01-02,-106924.13546461682,Achat_Marche,0
2026-01-02,6298.589543360205,Vente,1
2026-01-02,3399.783122841205,Vente,0
2026-01-02,5586.016816145352,Vente,0
2026-01-03,-112865.53503519454,Achat_Marche,0
2026-01-03,-115651.54439785794,Achat_Marche,0
2026-01-03,4591.316116927982,Vente,0
2026-01-03,2456.2745973081037,Vente,0
2026-01-03,5116.8934402016785,Vente,0
2026-01-03,3971.578542400933,Vente,0
2026-01-03,2283.5755540560285,Vente,0
2026-01-03,4448.648674052005,Vente,0
2026-01-03,3921.268316332193,Vente,0
2026-01-03,3384.7547842305094,Vente,0
2026-01-03,4382.799467150787,Vente,0
2026-01-03,4764.4782353257115,Vente,0
2026-01-03,2888.8361872559026,Vente,0
2026-01-03,1543.4068542266054,Vente,0
2026-01-03,3923.4679386484536,Vente,0
2026-01-03,-400968.0,Salaire,0
2026-01-03,-395967.0,Salaire,0
2026-01-03,5123.541781691516,Vente,0
2026-01-03,-214296.15564341663,Achat_Marche,0
2026-01-03,4324.518316374555,Vente,0
2026-01-03,-379208.0,Salaire,0
2026-01-03,5675.29324966822,Vente,0
2026-01-03,3566.6965930974397,Vente,0
2026-01-03,4203.822727527467,Vente,0
2026-01-03,5154.354338408924,Vente,0
2026-01-03,-366981.0,Loyer,0
2026-01-03,3522.618269424679,Vente,0
2026-01-03,3208.2800213444207,Vente,0
2026-01-03,2828.023145549555,Vente,0
2026-01-03,4851.944467564685,Vente,0
2026-01-03,4768.339454305004,Vente,0
2026-01-03,3450.7418184589296,Vente,0
2026-01-03,1540.8066379214515,Vente,0
2026-01-03,-151368.23519776785,Achat_Marche,0
2026-01-03,4389.179576144539,Vente,0
2026-01-03,-175307.22068341033,Achat_Marche,0
2026-01-03,2933.6785217600313,Vente,0
2026-01-03,5436.754672549553,Vente,0
2026-01-03,-211023.0,Salaire,0
2026-01-03,3298.30002299217,Vente,0
2026-01-03,3842.2760417458967,Vente,0
2026-01-03,2644.942044482068,Vente,0
2026-01-03,-220159.0,Loyer,0
2026-01-03,3354.6777908025138,Vente,0
2026-01-03,2399.388990972366,Vente,0
2026-01-03,3877.2112508424852,Vente,0
2026-01-03,-169466.7972376065,Achat_Marche,0
2026-01-03,-113048.07697470524,Achat_Marche,0
2026-01-03,4189.584920160589,Vente,0
2026-01-03,-328778.0,Loyer,0
2026-01-03,3885.460154747382,Vente,0
2026-01-03,5237.816311973462,Vente,0
2026-01-03,-150157.3109915455,Achat_Marche,0
2026-01-03,-151409.41781294227,Achat_Marche,0
2026-01-03,2932.3795706174055,Vente,0
2026-01-03,3857.6205149787065,Vente,0
2026-01-03,2465.8858292643777,Vente,0
2026-01-03,5277.676821898509,Vente,0
2026-01-04,-178112.17560945536,Achat_Marche,0
2026-01-04,3430.6738694512223,Vente,0
2026-01-04,1391.2119903156245,Vente,0
2026-01-04,3344.914716175922,Vente,0
